Kfc Kentucky Fried Chicken, Calle Bravo Murillo, 168 BAJO;LOC 28020 Madrid
Kfc Kentucky Fried Chicken, Paseo Florida, 2 LOC;7A;C.C.PRINCIPE 28008 Madrid
Kfc Kentucky Fried Chicken, Calle Mayor, 1 LOC 28013 Madrid
Kfc Kentucky Fried Chicken,  Alto del Retiro (C. Com. La Gavia), 22 BAJO 28051 Madrid
Kfc Kentucky Fried Chicken, Calle La Montera, 7 BAJO;IZDA 28013 Madrid
Kfc Kentucky Fried Chicken, Calle Aracne, 3 LOC;219;CC. PLENILUNIO 28022 Madrid
Kfc Kentucky Fried Chicken, Calle Alcalá, 294 BAJO;LOCAL 2 28027 Madrid
Kfc Kentucky Fried Chicken, Avenida Reina Victoria, 2 BAJO;LOC.3 28003 Madrid
Kfc Kentucky Fried Chicken, Calle Serrano Galvache, 56 5;DCHA;ED. OLMO 28033 Madrid
Kfc Kentucky Fried Chicken, Calle Atocha, 118 28012 Madrid
California,  Arequipa, 1 LOCAL-110(C.C.G.VIA HORT) 28043 Madrid
